Observer	STREET	TB_number (in the street)	DATE	Real name of the street	TB_tree	TB_soil/grill	TB_taxa
CESCO	RBER	85	13/05/14	rue de Bercy	Tilia sp.	grill	(na)
CESCO	RBER	86	13/05/14	rue de Bercy	Tilia sp.	grill	(na)
CESCO	RBER	87	13/05/14	rue de Bercy	Tilia sp.	grill	(na)
CESCO	RBER	43	13/05/14	rue de Bercy	Tilia sp.	grill	Amaranthus retroflexus
CESCO	RBER	44	13/05/14	rue de Bercy	Tilia sp.	grill	Amaranthus retroflexus
CESCO	RBER	47	13/05/14	rue de Bercy	Tilia sp.	grill	Amaranthus retroflexus
CESCO	RBER	49	13/05/14	rue de Bercy	Tilia sp.	grill	Amaranthus retroflexus
CESCO	RBER	50	13/05/14	rue de Bercy	Tilia sp.	grill	Amaranthus retroflexus
CESCO	RBER	96	13/05/14	rue de Bercy	Tilia sp.	grill	Amaranthus retroflexus
CESCO	RBER	103	13/05/14	rue de Bercy	Tilia sp.	grill	Amaranthus retroflexus
CESCO	RBER	104	13/05/14	rue de Bercy	Tilia sp.	grill	Amaranthus retroflexus
CESCO	RBER	108	13/05/14	rue de Bercy	Tilia sp.	grill	Amaranthus retroflexus
CESCO	RBER	109	13/05/14	rue de Bercy	Tilia sp.	grill	Amaranthus retroflexus
CESCO	RBER	110	13/05/14	rue de Bercy	Tilia sp.	grill	Amaranthus retroflexus
CESCO	RBER	43	13/05/14	rue de Bercy	Tilia sp.	grill	Anagallis arvensis
CESCO	RBER	93	13/05/14	rue de Bercy	Tilia sp.	grill	Anagallis arvensis
CESCO	RBER	95	13/05/14	rue de Bercy	Tilia sp.	grill	Anagallis arvensis
CESCO	RBER	105	13/05/14	rue de Bercy	Tilia sp.	grill	Anagallis arvensis
CESCO	RBER	108	13/05/14	rue de Bercy	Tilia sp.	grill	Anagallis arvensis
CESCO	RBER	110	13/05/14	rue de Bercy	Tilia sp.	grill	Anagallis arvensis
CESCO	RBER	117	13/05/14	rue de Bercy	Tilia sp.	grill	Anagallis arvensis
CESCO	RBER	3	13/05/14	rue de Bercy	Tilia sp.	grill	Andryala integrifolia
CESCO	RBER	48	13/05/14	rue de Bercy	Tilia sp.	grill	Aphanes arvensis
CESCO	RBER	71	13/05/14	rue de Bercy	Tilia sp.	grill	Aphanes arvensis
CESCO	RBER	43	13/05/14	rue de Bercy	Tilia sp.	grill	Arabidopsis thaliana
CESCO	RBER	110	13/05/14	rue de Bercy	Tilia sp.	grill	Arabidopsis thaliana
CESCO	RBER	111	13/05/14	rue de Bercy	Tilia sp.	grill	Arabidopsis thaliana
CESCO	POMM	2	13/05/14	rue de Pommard	Tilia sp.	grill	Arenaria serpyllifolia
CESCO	POMM	10	13/05/14	rue de Pommard	Tilia sp.	grill	Arenaria serpyllifolia
CESCO	POMM	14	13/05/14	rue de Pommard	Tilia sp.	grill	Arenaria serpyllifolia
CESCO	POMM	20	13/05/14	rue de Pommard	Tilia sp.	grill	Arenaria serpyllifolia
CESCO	RBER	13	13/05/14	rue de Bercy	Tilia sp.	grill	Arenaria serpyllifolia
CESCO	RBER	31	13/05/14	rue de Bercy	Tilia sp.	grill	Arenaria serpyllifolia
CESCO	RBER	67	13/05/14	rue de Bercy	Tilia sp.	grill	Arenaria serpyllifolia
CESCO	RBER	48	13/05/14	rue de Bercy	Tilia sp.	grill	Artemisia annua
CESCO	RBER	49	13/05/14	rue de Bercy	Tilia sp.	grill	Bellis perennis
CESCO	RBER	66	13/05/14	rue de Bercy	Tilia sp.	grill	Bellis perennis
CESCO	RBER	67	13/05/14	rue de Bercy	Tilia sp.	grill	Bellis perennis
CESCO	RBER	68	13/05/14	rue de Bercy	Tilia sp.	grill	Bellis perennis
CESCO	RBER	70	13/05/14	rue de Bercy	Tilia sp.	grill	Bellis perennis
CESCO	RBER	77	13/05/14	rue de Bercy	Tilia sp.	grill	Bellis perennis
CESCO	RBER	93	13/05/14	rue de Bercy	Tilia sp.	grill	Bellis perennis
CESCO	RBER	45	13/05/14	rue de Bercy	Tilia sp.	grill	Brassica napus
CESCO	RBER	118	13/05/14	rue de Bercy	Tilia sp.	grill	Brassica napus
CESCO	RBER	124	13/05/14	rue de Bercy	Tilia sp.	grill	Brassica napus
CESCO	RBER	126	13/05/14	rue de Bercy	Tilia sp.	grill	Brassica napus
CESCO	RBER	129	13/05/14	rue de Bercy	Tilia sp.	grill	Brassica napus
CESCO	RBER	131	13/05/14	rue de Bercy	Tilia sp.	grill	Brassica napus
CESCO	RBER	135	13/05/14	rue de Bercy	Tilia sp.	grill	Brassica napus
CESCO	RBER	136	13/05/14	rue de Bercy	Tilia sp.	grill	Brassica napus
CESCO	RBER	60	13/05/14	rue de Bercy	Tilia sp.	grill	Brassica nigra
CESCO	RBER	44	13/05/14	rue de Bercy	Tilia sp.	grill	Bromus sterilis
CESCO	RBER	105	13/05/14	rue de Bercy	Tilia sp.	grill	Bromus sterilis
CESCO	RBER	6	13/05/14	rue de Bercy	Tilia sp.	grill	Calystegia sepium
CESCO	RBER	44	13/05/14	rue de Bercy	Tilia sp.	grill	Calystegia sepium
CESCO	RBER	62	13/05/14	rue de Bercy	Tilia sp.	grill	Calystegia sepium
CESCO	RBER	105	13/05/14	rue de Bercy	Tilia sp.	grill	Calystegia sepium
CESCO	RBER	111	13/05/14	rue de Bercy	Tilia sp.	grill	Calystegia sepium
CESCO	POMM	9	13/05/14	rue de Pommard	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	POMM	14	13/05/14	rue de Pommard	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	POMM	15	13/05/14	rue de Pommard	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	POMM	28	13/05/14	rue de Pommard	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	POMM	30	13/05/14	rue de Pommard	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	POMM	34	13/05/14	rue de Pommard	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	POMM	39	13/05/14	rue de Pommard	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	7	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	8	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	10	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	11	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	37	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	38	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	41	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	43	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	60	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	62	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
CESCO	RBER	66	13/05/14	rue de Bercy	Tilia sp.	grill	Capsella bursa-pastoris
