PA_voie;PA_numérobis;COORD_X;COORD_Y
BARO;1;603988.663854;125780.055490
BARO;2;603975.428242;125795.788386
BARO;3;603971.057993;125801.157549
BARO;4;603961.942902;125812.395333
BARO;5;603952.203490;125824.132573
BARO;6;603958.446703;125796.287843
BARO;7;603953.452133;125802.406192
BARO;8;603948.457563;125808.649405
BARO;9;603934.847359;125844.360583
BARO;10;603930.102517;125850.728660
BARO;11;603920.737697;125861.716714
BARO;12;603915.493399;125868.209656
BARO;13;603907.626950;125877.199882
BARO;14;603902.757244;125883.567960
BARO;15;603897.512945;125889.686308
BARO;16;603890.270818;125898.177078
BARO;17;603879.657357;125910.413775
BARO;18;603870.042809;125922.900201
BARO;19;603864.923374;125929.143414
BARO;20;603850.813713;125945.875224
BARO;21;603841.948351;125956.613550
BARO;22;603836.953780;125962.607035
BARO;23;603832.084074;125968.475655
BARO;24;603827.089504;125974.469139
BARO;25;603822.219798;125980.212895
BARO;26;603817.599820;125985.831787
BARO;27;603813.104707;125991.700407
BARO;28;603808.235001;125997.069570
BARO;29;603803.240431;126003.187919
BARO;30;603799.369639;126008.432217
BARO;31;603794.749661;126013.801381
BARO;32;603785.384842;126024.664571
BARO;33;603766.780067;126046.765545
BARO;34;603762.534683;126052.259572
BARO;35;603757.914705;126057.753599
BARO;36;603745.053687;126073.111903
BARO;37;603740.558573;126078.730795
BARO;38;603730.319704;126091.217220
BARO;39;603721.454342;126101.830682
BARO;40;603717.084093;126107.199845
BARO;41;603707.844138;126117.688443
BARO;42;603698.978775;126128.177041
BARO;43;603694.608526;126133.920797
BARO;44;603693.859341;126115.066294
BARO;45;603702.724703;126104.452832
BARO;46;603715.960314;126088.595071
BARO;47;603720.455428;126083.350772
BARO;48;603748.175293;126050.136880
BARO;49;603757.290384;126038.649368
BARO;50;603771.025452;126022.292150
BARO;51;603794.000476;125994.572285
BARO;52;603808.235001;125977.590746
BARO;53;603812.979843;125971.846990
BARO;54;603832.208939;125948.747102
BARO;55;603841.074301;125937.883912
BARO;56;603855.433690;125921.027237
BARO;57;603860.428261;125915.033753
BARO;58;603865.422831;125908.915404
BARO;59;603882.778963;125887.938209
BARO;60;603888.272990;125882.194453
BARO;61;603892.892968;125875.951240
BARO;62;603910.498828;125854.974044
BATA;1;603199.646608;126643.616697
BATA;2;603194.527174;126644.990204
BATA;3;603189.407739;126646.363711
BATA;4;603184.662897;126647.612354
BATA;5;603180.042920;126648.860996
BATA;6;603175.048349;126650.109639
BATA;7;603170.053779;126651.483146
BATA;8;603165.059209;126652.731788
BATA;9;603156.193846;126648.361539
BATA;10;603152.323054;126646.238847
BATA;11;603148.077670;126643.616697
BATA;12;603143.457692;126641.244276
BATA;13;603164.434887;126646.363711
BATA;14;603156.068982;126641.618869
BATA;15;603147.203620;126636.624299
BATA;16;603172.426200;126644.241019
BATA;17;603168.180815;126641.743733
BATA;18;603163.810566;126639.371312
BATA;19;603159.690046;126637.123756
BATA;20;603155.319797;126634.626471
BATA;21;603151.074412;126632.004321
BATA;22;603163.311109;126632.628643
BATA;23;603150.450091;126625.511380
BATA;24;603175.797535;126633.003235
BATA;25;603171.427286;126630.505950
BATA;26;603158.566267;126623.263823
BATA;27;603154.570611;126621.640588
BATA;28;603170.802965;126623.888145
BATA;29;603162.312195;126618.893574
BATA;30;603170.303508;126616.895746
BATA;31;603166.058123;126614.523325
BERC;1;603381.448968;126587.552645
BERC;2;603386.568402;126586.428867
BERC;3;603391.438108;126585.305089
BERC;4;603395.808357;126584.306175
BERC;5;603766.030882;126494.154181
BERC;6;603774.396787;126492.031488
BERC;7;603783.387014;126489.659067
BERC;8;603817.724685;126487.161782
BERC;9;603826.215454;126488.285560
BERC;10;603835.455409;126489.659067
BERC;11;603844.445636;126490.782846
BERC;12;603852.686677;126491.656895
BERC;13;603851.063441;126508.888163
BERC;14;603842.198079;126507.764385
BERC;15;603833.582445;126506.515742
BERC;16;603824.592219;126505.391964
BERC;17;603815.851721;126504.143321
BERC;18;603806.486901;126502.894679
BERC;19;603798.120996;126503.394136
BERC;20;603791.752919;126505.017371
BERC;21;603788.006991;126512.634091
BERC;22;603782.512964;126514.132462
BERC;23;603777.143801;126522.373503
BERC;24;603783.511878;126520.999996
BERC;25;603762.160090;126512.758955
BERC;26;603347.236161;126622.514638
BERC;27;603341.617269;126624.013009
BERC;28;603336.622699;126625.261651
BERC;29;603763.908189;126519.626489
BERC;30;603756.666063;126528.616716
BERC;31;603753.044999;126515.256240
BERC;32;603745.428279;126517.378933
BERC;33;603737.187238;126519.626489
BERC;34;603728.696469;126521.874046
BERC;35;603720.455428;126523.996738
BERC;36;603712.089522;126526.369159
BERC;37;603702.474975;126528.866444
BERC;38;603694.733391;126530.989137
BERC;39;603757.415248;126496.526601
BERC;40;603748.674750;126498.774158
BERC;41;603739.809388;126501.146579
BERC;42;603730.819161;126503.519000
BERC;43;603722.827849;126505.641692
BERC;44;603580.982052;126543.350698
BERC;45;603573.615060;126545.348526
BERC;46;603565.748612;126547.471219
BERC;47;603557.882164;126549.469047
BERC;48;603550.265444;126551.342011
BERC;49;603543.148182;126553.464703
BERC;50;603534.033091;126555.837124
BERC;51;603526.166642;126557.834952
BERC;52;603518.300194;126559.957644
BERC;53;603413.913675;126587.552645
BERC;54;603408.294783;126588.926152
BERC;55;603400.927792;126590.674252
BERC;56;603393.311072;126592.672080
BERC;57;603385.944081;126594.919637
BERC;58;603347.236161;126596.792601
BERC;59;603343.365369;126597.666650
BERC;60;603338.370799;126599.040157
BERC;61;603329.505436;126601.287714
BERC;62;603324.760595;126602.786085
BERC;63;603319.391431;126604.409320
BERC;64;603336.497835;126608.030384
BERC;65;603330.629215;126609.279026
BERC;66;603326.508694;126610.028212
BERC;67;603321.763852;126611.276854
BERC;68;603301.660707;126617.020610
BERC;69;603296.416408;126618.269253
BERC;70;603291.546702;126619.767624
BERC;71;603286.177539;126620.891402
BERC;72;603281.807290;126622.140045
BERC;73;603277.312177;126623.513552
BERC;74;603272.817063;126624.637330
BERC;75;603266.324122;126626.260565
BERC;76;603262.578194;126627.384344
BERC;77;603257.958217;126628.383258
BERC;78;603252.464189;126630.006493
BERC;79;603243.349098;126632.254050
BERC;80;603237.105885;126633.877285
BERC;81;603550.390309;126569.072735
BERC;82;603542.398996;126571.070563
BERC;83;603534.532548;126573.193256
BERC;84;603526.541235;126575.315948
BERC;85;603519.174244;126577.313776
BERC;86;603511.182932;126579.311604
BERC;87;603503.441348;126581.309433
BERC;88;603495.699764;126583.432125
BERC;89;603487.583587;126585.554817
BERC;90;603479.842003;126587.552645
BERC;91;603378.202497;126614.648189
BERC;92;603372.209013;126616.021696
BERC;93;603355.227473;126620.516810
BERC;94;603330.754079;126627.009751
BERC;95;603325.759509;126628.258394
BERC;96;603320.764938;126629.631900
BERC;97;603315.645504;126631.005407
BERC;98;603310.401205;126632.254050
BERC;99;603300.536928;126635.001063
BERC;100;603290.422924;126637.748077
BERC;101;603286.302403;126638.871855
BERC;102;603281.682426;126639.870770
BERC;103;603277.062448;126640.994548
BERC;104;603272.317606;126642.368055
BERC;105;603267.323036;126643.616697
BERC;106;603262.453330;126644.865340
BERC;107;603257.583624;126646.113982
BERC;108;603252.713918;126647.362625
BERC;109;603247.344755;126648.860996
BERC;110;603241.600999;126650.359367
BERC;111;603235.732379;126651.857738
BERC;112;603230.238351;126653.356109
BERC;113;603223.870274;126654.979345
BERC;114;603218.376247;126656.477716
BERC;115;603208.387106;126659.224729
BERC;116;603200.021201;126661.472286
BERC;117;603191.655296;126663.594979
BERC;118;603183.164526;126665.717671
BERC;119;603171.052693;126668.839277
BERC;120;603162.187331;126671.336563
BERC;121;603153.446833;126673.459255
BERC;122;603144.206878;126675.956540
BERC;123;603133.593416;126678.703554
BERC;124;603126.850746;126680.451653
BERC;125;603118.235112;126682.824074
BERC;008bis;603809.608508;126478.920741
BERY;1;603098.007102;126657.976087
BERY;2;603090.015790;126657.726358
BERY;3;603089.890925;126651.233417
BERY;4;603082.773663;126651.857738
BERY;5;603083.273120;126645.739390
BERY;6;603078.278549;126647.986946
BERY;7;603076.155857;126639.870770
BERY;8;603069.662916;126640.619955
BERY;9;603069.288323;126634.002149
BERY;10;603062.795381;126635.001063
BERY;11;603062.295924;126628.383258
BERY;12;603055.802983;126629.257308
BERY;13;603055.553255;126622.639502
BERY;14;603049.060313;126623.513552
BERY;15;603048.311128;126616.770882
BERY;16;603041.818186;126617.894660
BERY;17;603041.318729;126611.027126
BERY;18;603035.075516;126612.150904
BERY;19;603034.451195;126605.408234
BERY;20;603028.083118;126606.407148
BERY;21;603027.458797;126599.539614
BERY;22;603021.090719;126600.663393
BERY;23;603020.716127;126593.920723
BERY;24;603014.348049;126595.044501
BERY;25;603013.723728;126588.301831
BERY;26;603007.355651;126589.175881
BERY;27;603006.856194;126582.558075
BERY;28;603000.363253;126583.432125
BERY;29;602999.738931;126576.689455
BERY;30;602993.370854;126577.688369
BERY;31;602992.996261;126571.070563
BERY;32;602986.378456;126571.944613
BERY;33;602986.003863;126565.326808
BERY;34;602979.510921;126566.325722
BERY;35;602979.136329;126559.583052
BERY;36;602972.393659;126560.581966
BERY;37;602972.143930;126553.714432
BERY;38;602965.526125;126554.838210
BERY;39;602965.401260;126548.095540
BERY;40;602958.783455;126549.219318
BERY;41;602948.294857;126533.985879
BERY;42;602948.544586;126540.603685
BERY;43;602941.302459;126528.366987
BERY;44;602941.926780;126535.234521
BERY;45;602934.684653;126522.623231
BERY;46;602934.809517;126529.365901
BERY;47;602927.442526;126516.879476
BERY;48;602927.817119;126523.747010
BERY;49;602919.326349;126510.011941
BERY;50;602921.324177;126518.128118
BERY;51;602914.831236;126506.390878
