STREET,TB_number (in the street),TB_tree,TB_soil/grill
BARO,1,Platanus x acerifolia,soil
BARO,5,Platanus x acerifolia,soil
BARO,5,Platanus x acerifolia,soil
BARO,32,Platanus x acerifolia,soil
BARO,32,Platanus x acerifolia,soil
BARO,38,Platanus x acerifolia,soil
BARO,38,Platanus x acerifolia,soil
BARO,39,Platanus x acerifolia,soil
BARO,39,Platanus x acerifolia,soil
BARO,40,Platanus x acerifolia,soil
BARO,40,Platanus x acerifolia,soil
BARO,40,Platanus x acerifolia,soil
BARO,40,Platanus x acerifolia,soil
BARO,40,Platanus x acerifolia,soil
BARO,41,Platanus x acerifolia,soil
BARO,42,Platanus x acerifolia,soil
BARO,42,Platanus x acerifolia,soil
BARO,42,Platanus x acerifolia,soil
BARO,43,Platanus x acerifolia,soil
BARO,43,Platanus x acerifolia,soil
BARO,43,Platanus x acerifolia,soil
BARO,43,Platanus x acerifolia,soil
BARO,46,Platanus x acerifolia,soil
BARO,47,Platanus x acerifolia,soil
BARO,49,Platanus x acerifolia,soil
BARO,50,Platanus x acerifolia,soil
BARO,51,Platanus x acerifolia,soil
BARO,52,Platanus x acerifolia,soil
BARO,53,Platanus x acerifolia,soil
BARO,58,Platanus x acerifolia,soil
BATA,1,Aesculus hippocastanum,soil
BATA,1,Aesculus hippocastanum,soil
BATA,1,Aesculus hippocastanum,soil
BATA,2,Aesculus hippocastanum,soil
BATA,2,Aesculus hippocastanum,soil
BATA,3,Aesculus hippocastanum,soil
BATA,3,Aesculus hippocastanum,soil
BATA,4,Aesculus hippocastanum,soil
BATA,4,Aesculus hippocastanum,soil
BATA,5,Aesculus hippocastanum,soil
BATA,5,Aesculus hippocastanum,soil
BATA,5,Aesculus hippocastanum,soil
BATA,6,Aesculus hippocastanum,soil
BATA,6,Aesculus hippocastanum,soil
BATA,6,Aesculus hippocastanum,soil
BATA,7,Aesculus hippocastanum,soil
BATA,7,Aesculus hippocastanum,soil
BATA,8,Aesculus hippocastanum,soil
BATA,8,Aesculus hippocastanum,soil
BATA,8,Aesculus hippocastanum,soil
BATA,9,Aesculus hippocastanum,soil
BATA,10,Melia azedarach,soil
BATA,11,Melia azedarach,soil
BATA,12,Melia azedarach,soil
BATA,13,Melia azedarach,soil
BATA,13,Melia azedarach,soil
BATA,14,Melia azedarach,soil
BATA,14,Melia azedarach,soil
BATA,15,Melia azedarach,soil
BATA,15,Melia azedarach,soil
BATA,16,Melia azedarach,soil
BATA,16,Melia azedarach,soil
BATA,17,Melia azedarach,soil
BATA,17,Melia azedarach,soil
BATA,18,Melia azedarach,soil
BATA,18,Melia azedarach,soil
BATA,19,Melia azedarach,soil
BATA,19,Melia azedarach,soil
BATA,20,Melia azedarach,soil
BATA,20,Melia azedarach,soil
BATA,21,Melia azedarach,soil
BATA,21,Melia azedarach,soil
BATA,22,Melia azedarach,soil
BATA,22,Melia azedarach,soil
BATA,23,Aesculus hippocastanum,soil
BATA,23,Aesculus hippocastanum,soil
BATA,24,Aesculus hippocastanum,soil
BATA,24,Aesculus hippocastanum,soil
BATA,25,Aesculus hippocastanum,soil
BATA,25,Aesculus hippocastanum,soil
BATA,25,Aesculus hippocastanum,soil
BATA,26,Aesculus hippocastanum,soil
BATA,26,Aesculus hippocastanum,soil
BATA,27,Aesculus hippocastanum,soil
BATA,27,Aesculus hippocastanum,soil
BATA,28,Melia azedarach,soil
BATA,28,Melia azedarach,soil
BATA,28,Melia azedarach,soil
BATA,28,Melia azedarach,soil
BATA,29,Aesculus hippocastanum,soil
BATA,29,Aesculus hippocastanum,soil
BATA,30,Aesculus hippocastanum,soil
BATA,30,Aesculus hippocastanum,soil
BATA,31,Melia azedarach,soil
BATA,31,Melia azedarach,soil
BATA,31,Melia azedarach,soil
BERC,1,Aesculus hippocastanum,grill
BERC,2,Aesculus hippocastanum,grill
BERC,2,Aesculus hippocastanum,grill
BERC,2,Aesculus hippocastanum,grill
BERC,2,Aesculus hippocastanum,grill
BERC,3,Aesculus hippocastanum,grill
BERC,3,Aesculus hippocastanum,grill
BERC,4,Aesculus hippocastanum,grill
BERC,6,Platanus x acerifolia,grill
BERC,9,Aesculus hippocastanum,grill
BERC,13,Aesculus hippocastanum,grill
BERC,14,Aesculus hippocastanum,grill
BERC,15,Aesculus hippocastanum,grill
BERC,15,Aesculus hippocastanum,grill
BERC,16,Aesculus hippocastanum,grill
BERC,18,Aesculus hippocastanum,grill
BERC,19,Aesculus hippocastanum,grill
BERC,21,Aesculus hippocastanum,grill
BERC,21,Aesculus hippocastanum,grill
BERC,21,Aesculus hippocastanum,grill
BERC,21,Aesculus hippocastanum,grill
BERC,24,Aesculus hippocastanum,grill
BERC,24,Aesculus hippocastanum,grill
BERC,24,Aesculus hippocastanum,grill
BERC,25,Platanus x acerifolia,soil
BERC,26,Aesculus hippocastanum,grill
BERC,27,Aesculus hippocastanum,grill
BERC,27,Aesculus hippocastanum,(na)
BERC,28,Aesculus hippocastanum,grill
BERC,28,Aesculus hippocastanum,grill
BERC,30,Platanus x acerifolia,grill
BERC,30,Platanus x acerifolia,grill
BERC,38,Platanus x acerifolia,soil
BERC,41,Platanus x acerifolia,soil
BERC,46,Platanus x acerifolia,soil
BERC,52,Platanus x acerifolia,soil
BERC,52,Platanus x acerifolia,soil
BERC,53,Aesculus hippocastanum,soil
BERC,53,Aesculus hippocastanum,soil
BERC,53,Aesculus hippocastanum,soil
BERC,53,Aesculus hippocastanum,soil
BERC,53,Aesculus hippocastanum,soil
BERC,54,Aesculus hippocastanum,soil
BERC,55,Aesculus hippocastanum,soil
BERC,60,Aesculus hippocastanum,grill
BERC,61,Aesculus hippocastanum,grill
BERC,62,Aesculus hippocastanum,grill
BERC,63,Aesculus hippocastanum,soil
BERC,65,Aesculus hippocastanum,grill
BERC,66,Aesculus hippocastanum,soil
BERC,66,Aesculus hippocastanum,soil
BERC,66,Aesculus hippocastanum,soil
BERC,66,Aesculus hippocastanum,soil
BERC,66,Aesculus hippocastanum,soil
BERC,67,Aesculus hippocastanum,soil
BERC,67,Aesculus hippocastanum,soil
BERC,69,Aesculus hippocastanum,grill
BERC,69,Aesculus hippocastanum,grill
BERC,70,Aesculus hippocastanum,grill
